dataset,method,vehicle_id,seg_index,rmse_full_pct,mae_full_pct,maxerr_full_pct,rmse_postconv_pct,mae_postconv_pct,maxerr_postconv_pct,t_conv_strict_s,t_conv_hold_s,t_conv_legacy_s,duration_s,n_samples
BMW_i3,coulomb,bmw_i3,61,25.44253898992091,24.879373703625298,31.999999999999996,,,,,,,1417.1,14172.0
BMW_i3,ocv_lookup,bmw_i3,61,41.8486229053994,28.717129237346366,82.8,2.3017063865726235,2.1726469868184513,4.815999273470551,1388.4,1388.4,364.4,1417.1,14172.0
BMW_i3,ekf,bmw_i3,62,30.82626410664757,30.136609790569853,42.89999999999999,,,,,,,1642.8,16429.0
BMW_i3,coulomb,bmw_i3,62,41.57532763717495,40.68533422344294,51.2,,,,,,,1642.8,16429.0
BMW_i3,ocv_lookup,bmw_i3,62,54.710608880567634,54.39610615056012,65.0,,,,,,130.3,1642.8,16429.0
Deng_BAIC_EU500,ekf,vehicle_01,0,3.041057556056317,2.6229265614734754,9.573745656330573,2.4634961329469145,2.2432134518784363,4.896205231986634,296.0,296.0,296.0,3082.0,386.0
Deng_BAIC_EU500,coulomb,vehicle_01,0,27.16993468817175,22.304923821501603,53.88157459386972,,,,,,648.0,3082.0,386.0
Deng_BAIC_EU500,ocv_lookup,vehicle_01,0,5.186556865257189,3.6946801938486167,16.400000000000002,,,,,0.0,0.0,3082.0,386.0
Deng_BAIC_EU500,ekf,vehicle_01,1,9.708581081559945,7.481556463031613,25.6,3.411011580162108,3.3375000000000004,4.799999999999994,4939.0,1393.0,1393.0,5443.0,681.0
Deng_BAIC_EU500,coulomb,vehicle_01,1,62.87153645511538,53.43775225669374,97.6,,,,,,536.0,5443.0,681.0
