# generated 20260719T195455Z by data/make_before_after.py; before = results/pre_sign_fix_snapshot (pre-fix), after = regenerated post-fix; TOL=0.005
table,dataset,method,key,metric,before,after,delta,was_inverted_before,changed
baseline_comparison.csv,Parallel_Module,my_ekf,Parallel_Module|my_ekf,rmse_mean,15.49114041642208,15.412460414771852,-0.0786800016502287,True,True
baseline_comparison.csv,Parallel_Module,my_ekf,Parallel_Module|my_ekf,conv_rate_strict,0.26851851851851855,0.26851851851851855,0.0,True,False
baseline_comparison.csv,Parallel_Module,my_ekf,Parallel_Module|my_ekf,rate_recovered,0.1527777777777778,0.08796296296296297,-0.06481481481481483,True,True
baseline_comparison.csv,Parallel_Module,my_ekf,Parallel_Module|my_ekf,rate_diverged,0.5787037037037037,0.6435185185185185,0.06481481481481477,True,True
baseline_comparison.csv,Parallel_Module,ocv_lookup,Parallel_Module|ocv_lookup,rmse_median,16.31903716845111,16.31903716845111,0.0,False,False
baseline_comparison.csv,Parallel_Module,ocv_lookup,Parallel_Module|ocv_lookup,rmse_mean,21.07470182494247,21.07470182494247,0.0,False,False
baseline_comparison.csv,Parallel_Module,ocv_lookup,Parallel_Module|ocv_lookup,conv_rate_strict,0.24074074074074073,0.24074074074074073,0.0,False,False
baseline_comparison.csv,Parallel_Module,ocv_lookup,Parallel_Module|ocv_lookup,rate_recovered,0.1388888888888889,0.1388888888888889,0.0,False,False
baseline_comparison.csv,Parallel_Module,ocv_lookup,Parallel_Module|ocv_lookup,rate_diverged,0.6203703703703703,0.6203703703703703,0.0,False,False
baseline_comparison.csv,Parallel_Module,rbc_coupled,Parallel_Module|rbc_coupled,rmse_median,15.636695455560371,17.295108031675092,1.6584125761147206,True,True
baseline_comparison.csv,Parallel_Module,rbc_coupled,Parallel_Module|rbc_coupled,rmse_mean,16.114594957543186,15.647148793325893,-0.4674461642172929,True,True
